Perturbation,Level,Dice Score
Gaussian Noise,0.0,0.8781935555052692
Gaussian Noise,2.0,0.8788264073227404
Gaussian Noise,4.0,0.878636492418973
Gaussian Noise,6.0,0.8778827523453157
Gaussian Noise,8.0,0.875611139341356
Gaussian Noise,10.0,0.8748757969816529
Gaussian Noise,12.0,0.8722544433844706
Gaussian Noise,14.0,0.8695919303793422
Gaussian Noise,16.0,0.8667384551974472
Gaussian Noise,18.0,0.8606804790103078
Gaussian Blur,0.0,0.8786109317637006
Gaussian Blur,1.0,0.8796566491774922
Gaussian Blur,2.0,0.8785638730445812
Gaussian Blur,3.0,0.877647466760804
Gaussian Blur,4.0,0.8765464555777855
Gaussian Blur,5.0,0.8753103789513432
Gaussian Blur,6.0,0.87428133395314
Gaussian Blur,7.0,0.8732450979450453
Gaussian Blur,8.0,0.8722454136161722
Gaussian Blur,9.0,0.870561507768419
Contrast Increase,1.0,0.8788609887862288
Contrast Increase,1.01,0.8769495539983708
Contrast Increase,1.02,0.8778734415006724
Contrast Increase,1.03,0.878400097413218
Contrast Increase,1.04,0.8778122765291271
Contrast Increase,1.05,0.876431389686013
Contrast Increase,1.1,0.8739848434234765
Contrast Increase,1.15,0.8695499446187418
Contrast Increase,1.2,0.8645753246709255
Contrast Increase,1.25,0.8581409014695504
Contrast Decrease,1.0,0.8779736571610918
Contrast Decrease,0.95,0.879672273763875
Contrast Decrease,0.9,0.879756425764671
Contrast Decrease,0.85,0.8786736875288172
Contrast Decrease,0.8,0.8767638753661307
Contrast Decrease,0.6,0.8578692473994852
Contrast Decrease,0.4,0.8298093694015072
Contrast Decrease,0.3,0.8144527881310405
Contrast Decrease,0.2,0.7891811450104826
Contrast Decrease,0.1,0.7374399281588166
Brightness Increase,0.0,0.8795753783370502
Brightness Increase,5.0,0.8773145040282478
Brightness Increase,10.0,0.8761895430233629
Brightness Increase,15.0,0.8742902508017221
Brightness Increase,20.0,0.8718177360963998
Brightness Increase,25.0,0.8690968586610581
Brightness Increase,30.0,0.8655184194851753
Brightness Increase,35.0,0.8614052451986585
Brightness Increase,40.0,0.8568232906180362
Brightness Increase,45.0,0.8537768156869057
Brightness Decrease,0.0,0.8792867278115587
Brightness Decrease,5.0,0.879913033218383
Brightness Decrease,10.0,0.8792735918199389
Brightness Decrease,15.0,0.8790043390341047
Brightness Decrease,20.0,0.8768842069252009
Brightness Decrease,25.0,0.87655035432324
Brightness Decrease,30.0,0.87442039824341
Brightness Decrease,35.0,0.872195771115105
Brightness Decrease,40.0,0.8693674648678317
Brightness Decrease,45.0,0.8661120184341325
Occlusion,0.0,0.8792569341215835
Occlusion,5.0,0.8783123328827942
Occlusion,10.0,0.8779774870898541
Occlusion,15.0,0.8771827508987484
Occlusion,20.0,0.8769980036825356
Occlusion,25.0,0.8764243216375033
Occlusion,30.0,0.8747377737956409
Occlusion,35.0,0.8744839518873747
Occlusion,40.0,0.8731759146113303
Occlusion,45.0,0.8718686759736233
Salt and Pepper,0.0,0.8789233149216518
Salt and Pepper,0.02,0.8550526053804239
Salt and Pepper,0.04,0.8080198485853141
Salt and Pepper,0.06,0.7470810819226943
Salt and Pepper,0.08,0.6768924104483659
Salt and Pepper,0.1,0.605568924431363
Salt and Pepper,0.12,0.5345032092498332
Salt and Pepper,0.14,0.4744509181869511
Salt and Pepper,0.16,0.416001721057179
Salt and Pepper,0.18,0.3678186778827653
