Wall time,Step,Value
1743522384.935102,0,7.972414493560791
1743530137.1532302,1,5.715120792388916
1743531546.294869,2,5.240784168243408
1743532918.144636,3,4.93961238861084
1743534297.191614,4,4.622220039367676
1743535683.5512042,5,4.415874004364014
1743542228.470757,6,4.203952312469482
1743543613.086004,7,4.032130718231201
1743545008.708818,8,3.936920642852783
1743546399.077599,9,3.7516837120056152
1743547782.087902,10,3.6420929431915283
1743549143.14354,11,3.5755624771118164
1743550528.628586,12,3.446183443069458
1743551900.546978,13,3.3554186820983887
1743553260.257736,14,3.26118540763855
1743554648.061036,15,3.191708564758301
1743556024.817167,16,3.0739707946777344
1743557406.121637,17,3.0633695125579834
1743558787.508736,18,2.9787092208862305
1743560169.711624,19,2.8211894035339355
1743561541.827761,20,2.8340587615966797
1743562933.3510559,21,2.7453114986419678
1743564303.329211,22,2.705449342727661
1743565680.483335,23,2.5563619136810303
1743567069.529342,24,2.494685173034668
1743568447.214417,25,2.447615385055542
1743569831.139704,26,2.4135472774505615
1743571211.119238,27,2.329929828643799
1743572596.011359,28,2.277245044708252
1743573987.0630069,29,2.2710676193237305
1743575360.510932,30,2.120774984359741
1743576737.380843,31,2.1075563430786133
1743578123.794196,32,2.047017812728882
1743579508.7606049,33,2.0799002647399902
1743580910.525881,34,1.9387210607528687
1743582326.0835662,35,1.9323283433914185
1743583722.3984032,36,1.9140225648880005
1743585107.1672692,37,1.84158456325531
1743586482.036747,38,1.7722257375717163
1743587858.594743,39,1.7484482526779175
